Step Time(ns) rpsystem.singlet rpsystem.t0 rpsystem.tp rpsystem.tm rpsystem.identity 
1 115 0.298366 0.258232 0.211194 0.232208 1 
1 116 0.302421 0.259313 0.208266 0.23 1 
1 117 0.306373 0.260323 0.20545 0.227854 1 
1 118 0.310203 0.261239 0.202776 0.225782 1 
1 119 0.313897 0.262037 0.200273 0.223793 1 
1 120 0.317446 0.262702 0.197962 0.221891 1 
1 121 0.320841 0.263217 0.195863 0.220079 1 
1 122 0.324081 0.263573 0.193989 0.218357 1 
1 123 0.327163 0.263763 0.192351 0.216722 1 
1 124 0.33009 0.263786 0.190953 0.215171 1 
1 125 0.332864 0.263642 0.189795 0.213699 1 
1 126 0.335488 0.263337 0.188875 0.2123 1 
1 127 0.337963 0.262881 0.188185 0.210971 1 
1 128 0.340292 0.262285 0.187716 0.209708 1 
1 129 0.342471 0.261564 0.187456 0.208509 1 
1 130 0.344499 0.260736 0.187392 0.207373 1 
1 131 0.346366 0.259819 0.18751 0.206305 1 
1 132 0.348062 0.258836 0.187794 0.205308 1 
1 133 0.349571 0.257806 0.188231 0.204392 1 
1 134 0.350876 0.256754 0.188805 0.203565 1 
1 135 0.351952 0.2557 0.189505 0.202843 1 
1 136 0.352774 0.254667 0.19032 0.20224 1 
1 137 0.353314 0.253675 0.191238 0.201772 1 
1 138 0.353543 0.252745 0.192253 0.201459 1 
1 139 0.353429 0.251894 0.193358 0.201319 1 
1 140 0.352944 0.251138 0.194548 0.20137 1 
1 141 0.35206 0.25049 0.19582 0.20163 1 
1 142 0.350753 0.249959 0.197172 0.202115 1 
1 143 0.349005 0.249555 0.198604 0.202836 1 
1 144 0.346802 0.249279 0.200115 0.203804 1 
1 145 0.344139 0.249134 0.201703 0.205024 1 
1 146 0.341018 0.249115 0.20337 0.206497 1 
1 147 0.337452 0.249217 0.205113 0.208218 1 
1 148 0.333461 0.249429 0.20693 0.21018 1 
1 149 0.329077 0.249739 0.208817 0.212366 1 
1 150 0.324341 0.250132 0.21077 0.214757 1 
1 151 0.319304 0.250588 0.212779 0.217328 1 
1 152 0.314026 0.251089 0.214836 0.220049 1 
1 153 0.308572 0.251613 0.216929 0.222886 1 
1 154 0.303018 0.252139 0.219043 0.2258 1 
1 155 0.297442 0.252645 0.22116 0.228753 1 
1 156 0.291926 0.253111 0.223264 0.2317 1 
1 157 0.286553 0.253517 0.225331 0.234599 1 
1 158 0.281407 0.253846 0.22734 0.237406 1 
1 159 0.276568 0.254086 0.229267 0.240079 1 
1 160 0.272112 0.254225 0.231086 0.242577 1 
1 161 0.268108 0.254256 0.232772 0.244863 1 
1 162 0.264619 0.254179 0.234299 0.246903 1 
