Step Time(ns) rpsystem.singlet rpsystem.t0 rpsystem.tp rpsystem.tm rpsystem.identity 
1 0  1 0 0 0 1
1 10  0.395127 0.199159 0.192444 0.193469 0.980199
1 20  0.243433 0.237902 0.238713 0.240742 0.960789
1 30  0.338716 0.200334 0.201541 0.201174 0.941765
1 40  0.433888 0.168257 0.15885 0.16212 0.923116
1 50  0.307365 0.209966 0.190837 0.196669 0.904837
1 60  0.312422 0.198368 0.187043 0.189088 0.88692
1 70  0.305906 0.185722 0.188155 0.189575 0.869358
1 80  0.256115 0.198896 0.19596 0.201172 0.852144
1 90  0.261155 0.195089 0.187335 0.191691 0.83527
1 100  0.268151 0.189183 0.176745 0.184652 0.818731
1 110  0.265918 0.185569 0.170368 0.180664 0.802519
1 120  0.264046 0.18407 0.1653 0.173212 0.786628
1 130  0.250786 0.177351 0.167194 0.175721 0.771052
1 140  0.259489 0.163442 0.162198 0.170654 0.755784
1 150  0.234437 0.182488 0.159651 0.164242 0.740818
1 160  0.257839 0.158937 0.15164 0.157733 0.726149
1 170  0.244294 0.164902 0.145803 0.156772 0.71177
1 180  0.245888 0.151934 0.145323 0.154531 0.697676
1 190  0.190972 0.180855 0.149234 0.1628 0.683861
1 200  0.21441 0.154644 0.149826 0.15144 0.67032
1 210  0.216565 0.150964 0.143447 0.14607 0.657047
1 220  0.210879 0.151996 0.13581 0.145351 0.644036
1 230  0.210872 0.143765 0.133109 0.143537 0.631284
1 240  0.207452 0.136193 0.13498 0.140158 0.618783
1 250  0.202911 0.139669 0.129316 0.134635 0.606531
1 260  0.207285 0.135913 0.12315 0.128172 0.594521
1 270  0.197254 0.132578 0.123648 0.129268 0.582748
1 280  0.18531 0.131286 0.127787 0.126826 0.571209
1 290  0.194662 0.126893 0.120462 0.117881 0.559898
1 300  0.190714 0.125003 0.116685 0.11641 0.548812
1 310  0.182202 0.123259 0.116308 0.116176 0.537944
1 320  0.173009 0.123585 0.117661 0.113037 0.527292
1 330  0.170589 0.120277 0.114693 0.111292 0.516851
1 340  0.160832 0.120379 0.113123 0.112283 0.506617
1 350  0.159154 0.118392 0.112014 0.107025 0.496585
1 360  0.159565 0.114067 0.111538 0.101583 0.486752
1 370  0.157179 0.110647 0.107125 0.102163 0.477114
1 380  0.149393 0.110881 0.104189 0.103203 0.467666
1 390  0.14708 0.108674 0.102311 0.100341 0.458406
1 400  0.149974 0.102428 0.100832 0.0960942 0.449329
1 410  0.13824 0.106411 0.101056 0.0947245 0.440432
1 420  0.139069 0.101489 0.0997801 0.0913724 0.431711
1 430  0.137349 0.102676 0.0937746 0.0893631 0.423162
1 440  0.144133 0.0963296 0.0877711 0.086549 0.414783
1 450  0.132367 0.0972516 0.0896723 0.0872787 0.40657
1 460  0.130345 0.092127 0.0917064 0.0843406 0.398519
1 470  0.126276 0.0890501 0.0908239 0.084478 0.390628
1 480  0.119478 0.0928168 0.0851933 0.0854049 0.382893
1 490  0.12518 0.0885337 0.0804499 0.0811476 0.375311
1 500  0.120706 0.0877546 0.080351 0.0790681 0.367879
1 510  0.118533 0.0834448 0.0810432 0.0775744 0.360595
1 520  0.111746 0.0832497 0.0812463 0.0772123 0.353455
1 530  0.113476 0.0799429 0.0773077 0.0757295 0.346456
1 540  0.113045 0.0782907 0.0735367 0.0747229 0.339596
1 550  0.106361 0.0796094 0.0734214 0.0734793 0.332871
1 560  0.102643 0.077019 0.0749092 0.0717088 0.32628
1 570  0.10298 0.0738622 0.073798 0.0691784 0.319819
1 580  0.106353 0.0697956 0.0709387 0.0663993 0.313486
1 590  0.097826 0.0724605 0.0699108 0.0670815 0.307279
1 600  0.0965106 0.071359 0.0676435 0.0656811 0.301194
1 610  0.0947606 0.0702153 0.0668969 0.0633574 0.29523
1 620  0.0971182 0.0653577 0.0649839 0.0619244 0.289384
1 630  0.0916072 0.0658669 0.0643049 0.061875 0.283654
1 640  0.0900304 0.0650276 0.0634107 0.0595686 0.278037
1 650  0.0889729 0.0630767 0.0618588 0.0586234 0.272532
1 660  0.0842688 0.0631179 0.0617856 0.057963 0.267135
1 670  0.0869511 0.0605952 0.059487 0.0548124 0.261846
1 680  0.0828197 0.060584 0.0582838 0.0549733 0.256661
1 690  0.0814509 0.0586809 0.056708 0.0547387 0.251579
1 700  0.078954 0.0569643 0.0567026 0.0539761 0.246597
1 710  0.078293 0.0558955 0.0549916 0.0525339 0.241714
1 720  0.0770598 0.05535 0.0539579 0.05056 0.236928
